Kalenderwoche;Datum;Wochentag;Anfang;Ende;Std.;Min.;UB/Archiv;Tage;Besuchsstunden;Anzahl Besucher;Zeit/Besuch;Ende Gelände;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-03;Montag;10:00;11:55;1;55;UB/Archiv;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-04;Dienstag;10:20;11:55;1;35;Archiv;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-04;Dienstag;10:25;11:55;1;30;UB/Archiv;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-04;Dienstag;13:34;15:16;1;42;Archiv;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-05;Mittwoch;10:05;11:55;1;50;UB ;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-05;Mittwoch;13:00;15:20;2;20;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-05;Mittwoch;14:15;14:16;0;1;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-07;Freitag;10:00;10:45;0;45;UB/Archiv;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-07;Freitag;10:20;11:55;1;35;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2022-01-07;Freitag;13:05;15:35;2;30;UB;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
