   Projektname         PPN   Datum
0      MaVII50  1817378015  220926
1      MaVII36  1817376969  220926
2     MaVII124  1817550438  220927
3    MaVII15-2  1817551183  220927
4    MaVII15-1  1817550993  220927
5      MaVII15  1817550721  220927
6     MaVII181  1817550578  220927
7      MaVII71  1817550322  220927
8      MaVII21  1817375938  220926
9      MaVII16  1816978698  220920
10      MaVII6  1816972509  220920
11     MaVII69  181755025X  220927
12     MaVII44  1817377566  220926
13     MaVII17  1816987352  220920
14      MaVII9  1816974412  220920
15     MaVII19  1816990825  220920
16      MaVII8  1816973807  220920
